cEGFRi	cEGFR	cERK	
119	10.8326780351	44.1691948378	10.7136780351	
120	11.0093548145	44.4825334135	10.8893548145	
121	11.1872849481	44.794458575	11.0662849481	
122	11.3664627824	45.1049602954	11.2444627824	
123	11.5468826236	45.4140285931	11.4238826236	
124	11.728538738	45.7216535321	11.604538738	
125	11.9114253521	46.0278252222	11.7864253521	
126	12.095536653	46.3325338194	11.969536653	
127	12.2808667883	46.6357695262	12.1538667883	
128	12.4674098664	46.9375225919	12.3394098664	
129	12.6551599567	47.237783313	12.5261599567	
130	12.84411109	47.5365420333	12.71411109	
131	13.0342572581	47.8337891446	12.9032572581	
132	13.2255924147	48.1295150865	13.0935924147	
133	13.418110475	48.4237103472	13.285110475	
134	13.6118053164	48.7163654634	13.4778053164	
135	13.8066707783	49.0074710209	13.6716707783	
136	14.0027006624	49.2970176547	13.8667006624	
137	14.199888733	49.5849960494	14.062888733	
138	14.3982287172	49.8713969395	14.2602287172	
139	14.5977143049	50.1562111098	14.4587143049	
140	14.7983391494	50.4394293953	14.6583391494	
141	15.000096867	50.7210426821	14.859096867	
142	15.2029810377	51.0010419072	15.0609810377	
143	15.4069852053	51.2794180589	15.2639852053	
144	15.6121028775	51.5561621772	15.4681028775	
145	15.8183275263	51.8312653542	15.6733275263	
146	16.0256525877	52.104718734	15.8796525877	
147	16.2340714626	52.3765135133	16.0870714626	
148	16.4435775167	52.6466409416	16.2955775167	
149	16.6541640804	52.9150923215	16.5051640804	
150	16.8658244497	53.1818590088	16.7158244497	
151	17.0785518857	53.4469324132	16.9275518857	
152	17.2923396154	53.7103039982	17.1403396154	
153	17.5071808314	53.9719652812	17.3541808314	
154	17.7230686925	54.2319078346	17.5690686925	
155	17.9399963239	54.490123285	17.7849963239	
156	18.157956817	54.7466033144	18.001956817	
157	18.3769432303	55.0013396599	18.2199432303	
158	18.5969485889	55.2543241141	18.4389485889	
159	18.8179658853	55.5055485254	18.6589658853	
160	19.0399880795	55.7550047983	18.8799880795	
161	19.2630080986	56.0026848936	19.1020080986	
162	19.4870188382	56.2485808289	19.3250188382	
163	19.7120131615	56.4926846781	19.5490131615	
164	19.9379839002	56.7349885729	19.7739839002	
165	20.1649238545	56.9754847017	19.9999238545	
166	20.3928257933	57.2141653108	20.2268257933	
167	20.6216824546	57.4510227045	20.4546824546	
168	20.8514865454	57.6860492448	20.6834865454	
169	21.0822307424	57.9192373525	20.9132307424	
170	21.3139076918	58.1505795065	21.1439076918	
